decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins,one_ups,custom_one_up_bonus,augmented_score_gain,flag_height_bonus,flag_touch_y,flag_score_tier,flag_top_tier,post_flag_frames,flag_resolution_complete,flag_resolution_status,objective_reward,objective_reward_sum
1,4,40,79,40,3,right+B,2.1087412278575357e-06,2.1736008420703e-05,5.591134595306357e-06,0.9997687935829163,0.0002018367376876995,0.0022774774115532637,0.0,0.0,1,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
2,8,43,79,43,3,right+B,2.0723161924252054e-06,2.1441723220050335e-05,5.524932475964306e-06,0.9997718930244446,0.0001990527962334454,0.0022487007081508636,3.0,3.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
3,12,47,79,47,3,right+B,2.1116168227308663e-06,2.183302967750933e-05,5.6799080994096585e-06,0.9997678399085999,0.00020250519446562976,0.0022844579070806503,4.0,7.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
4,16,53,79,53,3,right+B,2.1364842268667417e-06,2.185322045988869e-05,5.798030542791821e-06,0.9997566342353821,0.00021356448996812105,0.0023804011289030313,6.0,13.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
5,20,60,79,60,3,right+B,2.257339701827732e-06,2.2453688870882615e-05,6.465342266892549e-06,0.999708354473114,0.0002605218905955553,0.0027887290343642235,6.0,19.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
6,24,70,79,70,3,right+B,2.209078729720204e-06,2.2422611436923034e-05,6.478784143837402e-06,0.9997157454490662,0.00025310381897725165,0.0027264615055173635,10.0,29.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
7,28,81,79,81,3,right+B,2.2473229819297558e-06,2.267444142489694e-05,7.002723577897996e-06,0.9996975660324097,0.0002705757797230035,0.0028798235580325127,11.0,40.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
8,32,93,79,93,3,right+B,2.06676281777618e-06,2.1000936612836085e-05,6.524619948322652e-06,0.9997197985649109,0.0002505990560166538,0.002689339453354478,12.0,52.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
9,36,105,79,105,3,right+B,5.6774488257360645e-06,5.090895137982443e-05,3.9444352296413854e-05,0.998497724533081,0.0014062386471778154,0.011707575991749763,12.0,64.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
10,40,117,79,117,3,right+B,5.908458842895925e-05,0.00034299137769266963,0.002336874371394515,0.8955050706863403,0.1017560213804245,0.34883561730384827,11.0,75.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
11,44,129,97,129,4,right+A+B,0.00012018391862511635,0.00048695385339669883,0.013184802606701851,0.18600042164325714,0.8002075552940369,0.5530791878700256,12.0,87.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
12,48,141,117,141,4,right+A+B,8.1742720794864e-05,0.0004052190633956343,0.0032336644362658262,0.7739608287811279,0.22231848537921906,0.555079996585846,12.0,99.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
13,52,153,132,153,3,right+B,1.129433439928107e-05,9.818402031669393e-05,0.00014572606596630067,0.9921689629554749,0.007575889118015766,0.04711403325200081,12.0,111.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
14,56,165,134,165,3,right+B,2.5471624667261494e-06,2.3049111405271105e-05,1.1137269211758394e-05,0.9988893866539001,0.0010738277342170477,0.008856995031237602,12.0,123.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
15,60,177,123,177,3,right+B,2.1397102045739302e-06,1.7104226571973413e-05,7.33265005692374e-06,0.9987238049507141,0.0012495290720835328,0.00993079412728548,11.0,134.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
