decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
1,4,40,93,40,2,right+A,0.0010198570089414716,0.001665641786530614,0.2948339581489563,0.1544433981180191,0.5480371713638306,0.9958597421646118,0.0,0.0,1,2,400,0,0,0
2,8,42,109,42,4,right+A+B,0.0009836007375270128,0.0016043172217905521,0.29527992010116577,0.15137185156345367,0.5507603883743286,0.9916229248046875,2.0,2.0,0,2,400,0,0,0
3,12,44,122,44,2,right+A,0.0009788712486624718,0.0015946392668411136,0.29547640681266785,0.1502688229084015,0.5516813397407532,0.9902294278144836,2.0,4.0,0,2,400,0,0,0
4,16,48,132,48,4,right+A+B,0.0010376863647252321,0.0016863499768078327,0.29489362239837646,0.15270598232746124,0.5496763586997986,0.9939156770706177,4.0,8.0,0,2,400,0,0,0
5,20,53,139,53,4,right+A+B,0.0010216784430667758,0.00167562672868371,0.2940141558647156,0.15596555173397064,0.5473229289054871,0.9973393082618713,4.0,12.0,0,2,399,0,0,0
6,24,58,142,58,4,right+A+B,0.0010265251621603966,0.0016729565104469657,0.29525479674339294,0.15357078611850739,0.548474907875061,0.9950966835021973,5.0,17.0,0,2,399,0,0,0
7,28,65,143,65,4,right+A+B,0.0009593116119503975,0.0015536225400865078,0.2950548529624939,0.14889848232269287,0.5535337328910828,0.9878098964691162,7.0,24.0,0,2,399,0,0,0
8,32,72,136,72,3,right+B,0.000903769803699106,0.0014706015354022384,0.29417067766189575,0.14731498062610626,0.5561400055885315,0.9843136072158813,7.0,31.0,0,2,399,0,0,0
9,36,79,119,79,4,right+A+B,0.0009751804755069315,0.0015953258844092488,0.29391658306121826,0.15136146545410156,0.5521513223648071,0.9906488060951233,7.0,38.0,0,2,399,0,0,0
10,40,86,99,86,2,right+A,0.0009774718200787902,0.001589535502716899,0.29378542304039,0.1502695381641388,0.5533780455589294,0.9891283512115479,6.0,44.0,0,2,398,0,0,0
11,44,93,79,93,4,right+A+B,0.0009743442060425878,0.001617494155652821,0.292788028717041,0.1548839807510376,0.5497362017631531,0.9945718050003052,7.0,51.0,0,2,398,0,0,0
