decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins,one_ups,custom_one_up_bonus,augmented_score_gain,flag_height_bonus,flag_touch_y,flag_score_tier,flag_top_tier,post_flag_frames,flag_resolution_complete,flag_resolution_status,objective_reward,objective_reward_sum
1,4,40,79,40,3,right+B,1.8120952063327422e-06,3.062893301830627e-05,3.2434716558782384e-05,0.9998966455459595,3.848431879305281e-05,0.0011717452434822917,0.0,0.0,1,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
2,8,43,79,43,3,right+B,1.800596464818227e-06,3.0513681849697605e-05,3.2529882446397096e-05,0.9998966455459595,3.8443344237748533e-05,0.00117103464435786,3.0,3.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
3,12,47,79,47,3,right+B,1.7928596207639202e-06,3.0562339816242456e-05,3.317909067845903e-05,0.999895453453064,3.902921889675781e-05,0.0011847231071442366,4.0,7.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
4,16,53,79,53,3,right+B,1.7754836107997107e-06,3.001393997692503e-05,3.320197356515564e-05,0.999894380569458,4.0644503314979374e-05,0.001195268239825964,6.0,13.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
5,20,60,79,60,3,right+B,1.8288194496562937e-06,3.0091623557382263e-05,3.5171549825463444e-05,0.999887228012085,4.5719356421614066e-05,0.0012675415491685271,6.0,19.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
6,24,70,79,70,3,right+B,1.7047184428520268e-06,2.887280425056815e-05,3.4462002076907083e-05,0.999890923500061,4.4054333557141945e-05,0.0012291338061913848,10.0,29.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
7,28,81,79,81,3,right+B,1.8199541500507621e-06,3.0441242415690795e-05,3.953495615860447e-05,0.9998792409896851,4.9031543312594295e-05,0.00134909653570503,11.0,40.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
8,32,93,79,93,3,right+B,1.6287922335322946e-06,2.7558549845707603e-05,3.6178800655761734e-05,0.999889612197876,4.500910290516913e-05,0.0012421467108651996,12.0,52.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
9,36,105,79,105,3,right+B,5.680128651874838e-06,8.186740888049826e-05,0.00035302495234645903,0.9992644190788269,0.00029499587253667414,0.00677830632776022,12.0,64.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
10,40,117,79,117,3,right+B,0.00012758428056258708,0.0009899027645587921,0.071731336414814,0.8732613325119019,0.05388985574245453,0.47273874282836914,11.0,75.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
11,44,129,97,129,4,right+A+B,0.00014602075680159032,0.0006652915617451072,0.5372193455696106,0.0455564446747303,0.4164128601551056,0.8454821109771729,12.0,87.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
12,48,141,117,141,4,right+A+B,0.0002364311512792483,0.0012710881419479847,0.3170894682407379,0.3446732759475708,0.3367297053337097,1.1083028316497803,12.0,99.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
13,52,153,132,153,3,right+B,3.277094947407022e-05,0.00037916048313491046,0.006744131911545992,0.9859411120414734,0.006902758032083511,0.08534636348485947,12.0,111.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
14,56,165,134,165,3,right+B,4.625594556273427e-06,5.654734559357166e-05,0.00019952749426010996,0.9991662502288818,0.0005730625125579536,0.007420691195875406,12.0,123.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
15,60,177,123,177,3,right+B,1.661337250880024e-06,2.016651887970511e-05,2.5828841899055988e-05,0.9997572302818298,0.00019517942564561963,0.0024232661817222834,11.0,134.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
16,64,189,104,189,3,right+B,1.803400436983793e-06,1.99373098439537e-05,2.5027984520420432e-05,0.999556839466095,0.00039637714507989585,0.0040529570542275906,12.0,146.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
17,68,201,84,201,3,right+B,1.02335889096139e-05,5.495889490703121e-05,0.0003515115531627089,0.9824036359786987,0.0171797014772892,0.09071183949708939,12.0,158.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
18,72,213,97,213,4,right+A+B,6.583247795788338e-06,1.4347821888804901e-05,0.05961177498102188,0.0027780774980783463,0.9375892281532288,0.24511083960533142,12.0,170.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
